timestamp,open,high,low,close,volume
2024-07-08,227.089996,227.85001,223.25,227.82001,59085900.0
2024-07-09,227.92999,229.39999,226.37,228.67999,48076100.0
2024-07-10,229.3,233.080002,229.25,232.98,62627700.0
2024-07-11,231.39,232.39,225.77,227.57001,64710600.0
2024-07-12,228.92,232.64,228.67999,230.53999,53046500.0
2024-07-15,236.48,237.23,233.089996,234.39999,62631300.0
2024-07-16,235.0,236.27,232.33,234.82001,43234300.0
2024-07-17,229.45,231.46001,226.64,228.88,57345900.0
2024-07-18,230.28,230.44,222.27,224.17999,66034600.0
2024-07-19,224.82001,226.8,223.28,224.31,49151500.0
2024-07-22,227.0099945,227.78,223.089996,223.96001,48201800.0
2024-07-23,224.37,226.94,222.67999,225.0099945,39960300.0
2024-07-24,224.0,224.8,217.13,218.53999,61777600.0
2024-07-25,218.92999,220.85001,214.62,217.49001,51391200.0
2024-07-26,218.7,219.49001,216.0099945,217.96001,41601300.0
2024-07-29,216.96001,219.3,215.75,218.24001,36311800.0
2024-07-30,219.19,220.33,216.12,218.8,41643800.0
2024-07-31,221.44,223.82001,220.63,222.080002,50036300.0
2024-08-01,224.37,224.48,217.020004,218.36,62501000.0
2024-08-02,219.14999,225.60001,217.71001,219.86,105568600.0
2024-08-05,199.089996,213.5,196.0,209.27,119548600.0
2024-08-06,205.3,209.99001,201.070007,207.23,69660500.0
2024-08-07,206.89999,213.64,206.39,209.82001,63516400.0
2024-08-08,213.11,214.2,208.83,213.31,47161100.0
2024-08-09,212.10001,216.78,211.97,216.24001,42201600.0
2024-08-12,216.070007,219.50999,215.60001,217.53,38028100.0
2024-08-13,219.0099945,221.89,219.0099945,221.27,44155300.0
2024-08-14,220.57001,223.029999,219.7,221.72,41960600.0
2024-08-15,224.60001,225.35001,222.75999,224.72,46414000.0
2024-08-16,223.92,226.83,223.64999,226.050003,44340200.0
2024-08-19,225.72,225.99001,223.039993,225.89,40687800.0
2024-08-20,225.77,227.17,225.45,226.50999,30299000.0
2024-08-21,226.52,227.98,225.050003,226.39999,34765500.0
2024-08-22,227.78999,228.34,223.89999,224.53,43695300.0
2024-08-23,225.66,228.22,224.33,226.84,38677300.0
2024-08-26,226.75999,227.28,223.89,227.17999,30602200.0
2024-08-27,226.0,228.85001,224.89,228.029999,35934600.0
2024-08-28,227.92,229.86,225.67999,226.49001,38052200.0
2024-08-29,230.10001,232.92,228.88,229.78999,51906300.0
2024-08-30,230.19,230.39999,227.48,229.0,52990800.0
2024-09-03,228.55,229.0,221.17,222.77,50190600.0
2024-09-04,221.66,221.78,217.48,220.85001,43840200.0
2024-09-05,221.63,225.48,221.52,222.38,36615400.0
2024-09-06,223.95,225.24001,219.77,220.82001,48423000.0
2024-09-09,220.82001,221.27,216.71001,220.91,67180000.0
2024-09-10,218.92,221.48,216.73,220.11,51591000.0
2024-09-11,221.46001,223.089996,217.89,222.66,44587100.0
2024-09-12,222.5,223.55,219.82001,222.77,37498200.0
2024-09-13,223.58,224.039993,221.91,222.5,36766600.0
2024-09-16,216.53999,217.22,213.92,216.32001,59357400.0
2024-09-17,215.75,216.89999,214.5,216.78999,45519300.0
2024-09-18,217.55,222.71001,217.53999,220.69,59894900.0
2024-09-19,224.99001,229.82001,224.63,228.87,66781300.0
2024-09-20,229.97,233.089996,227.62,228.2,318679900.0
2024-09-23,227.34,229.45,225.81,226.47,54146000.0
2024-09-24,228.64999,229.35001,225.73,227.37,43556100.0
2024-09-25,224.92999,227.28999,224.020004,226.37,42308700.0
2024-09-26,227.3,228.5,225.41,227.52,36636700.0
2024-09-27,228.46001,229.52,227.3,227.78999,34026000.0
2024-09-30,230.039993,233.0,229.64999,233.0,54541900.0
2024-10-01,229.52,229.64999,223.74001,226.21001,63285000.0
2024-10-02,225.89,227.37,223.020004,226.78,32880600.0
2024-10-03,225.14,226.81,223.32001,225.67,34044200.0
2024-10-04,227.89999,228.0,224.13,226.8,37245100.0
2024-10-07,224.5,225.69,221.33,221.69,39505400.0
2024-10-08,224.3,225.98,223.25,225.77,31855700.0
2024-10-09,225.23,229.75,224.83,229.53999,33591100.0
2024-10-10,227.78,229.5,227.17,229.039993,28183500.0
2024-10-11,229.3,229.41,227.34,227.55,31759200.0
2024-10-14,228.7,231.73,228.60001,231.3,39882100.0
2024-10-15,233.61,237.49001,232.37,233.85001,64751400.0
2024-10-16,231.60001,232.12,229.84,231.78,34082200.0
2024-10-17,233.42999,233.85001,230.52,232.14999,32993800.0
2024-10-18,236.17999,236.17999,234.0099945,235.0,46431500.0
2024-10-21,234.45,236.85001,234.45,236.48,36254500.0
2024-10-22,233.89,236.22,232.60001,235.86,38846600.0
2024-10-23,234.080002,235.14,227.75999,230.75999,52287000.0
2024-10-24,229.98,230.82001,228.41,230.57001,31109500.0
2024-10-25,229.74001,233.22,229.57001,231.41,38802300.0
2024-10-28,233.32001,234.73,232.55,233.39999,36087100.0
2024-10-29,233.10001,234.33,232.32001,233.67,35417200.0
2024-10-30,232.61,233.47,229.55,230.10001,47070900.0
2024-10-31,229.34,229.83,225.37,225.91,64370100.0
